"Internal ID","NS
Status","Site Scope","Instruction Date","Project 
ID 
","Site ID","MBNL Site ID","VF Site ID","TEF Site ID","KTL Project Name","Project Comments","Client 
Priority","Drawing Priority/Status","Site Type","Structure Owner","Design Blocker Start","Design Blocked Close","Blocker 
Status","Blocker Owner","Blocker Reason","Blocker Comments","Survey Supplier","Surveyor","Survey 
RAG","Survey 
Revison","Survey Permit 
Number","RAMS
(A)","Survey
(F)","Survey (A)","DRONE SURVEY DATE (F)","Drone Survey (A)","RMSV DATE (F)","RMSV(A)","SURVEY / DESIGN HANDOVER INFORMATION","Survey 
Approved","Survey Uploaded
to Clients Tools","SURVEY INFORMATION COMMENTS","Survey Comments","Survey Blocker Comments","Survey Abort Comments","GA Supplier","GA Instruction 
Type","CAD provided to 
3rd party 
supplier","GA
(F)","GA 
Rev","GA Designer","GA Status","GA Action","GA Design Notes","GA Issued Client (A)","GA Approved Client (A)","GA Issued Operator (A)","GA Approved Operator (A)","DD Supplier","Dependency 
RAG","Dependency
Owner","Remaining Dependencies
(auto updates at 23:00)","Dependency Notes","DD Status","DD Action","DD Design Notes","DD
Rev","Dependency
Clear","DD
(F)","Dependency
(F)","DD Issued Client (A)","DD Designer","DD Approved Client (A)","DD Issued to Operator (A)","DD Approved to Operator (A)"
"29648","In Progress","Acquisition & Design","06/06/2024","10857229","77885","","","","ICSS","ICSS","F","P2","Greenfield","","04/02/2025","","Delayed","CS Paul C","Awaiting PO","09/09/24 SI: ICNIRP Call: Pass a note will be added on Drawing
29/08/24 SI: ICNIRP failing, drawing sent for ICNIRP review to CS (Paul C)","KTL (Internal)","Peter Barrett","","","REQ000003654581","F","17/07/2024","18/07/2024","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","","","","Emfyser","GA (Existing + Proposed Pages)","F","27/09/2024","2A","Sikandar Iqbal","Approved","2A is issued to BTEE","24/10/24 LM: GA approved by CS, Issued to BTEE
09/10/24 SI: GA REV 2A is ready to issue to CS (Uploaded to CS Core)
07/10/24 SI; CS rejections and redlines are shared with Emfyser.
07/10/24 SI: CS Rejected GA Rev 1A due to proposed steel work. 
11/09/24 LM: GA issued to CS
10/09/24 SI: GA REV 1A is ready to issue to CS. 
10/09/24 SI: Sent Emfyser to add ICNIRP note and redlines on draft1. 
09/09/24 SI: ICNIRP Call: Pass a note will be added on Drawing
29/08/24 SI: ICNIRP failing, drawing sent for ICNIRP review to CS (Paul C)
29/08/24 SI: Redlines on GA REV 1A draft 1 shared with Emfyser.
23/08/24 SI: GA instructed without CAD file","11/09/2024","24/10/2024","25/10/2024","06/11/2024","Emfyser","Amber","Reece V Belkum","006 Electrical Calculations / Design,046 Structural review,013 GDC Re-Run,056 Steelwork Design,029 Trial Dig,031 Supervised Access","21/2/2025 - RVB - BDC WIP (Date TBA) , thereafter pending steelwork design cost approval & then GDC re-run
4/2/2025 - RVB - BDC RFQ + Pending steelwork design approval + Pending GDC re-run approval & DH to respond to electrical enquiries
23/1/2025 - RVB - Geotech Cancelled, Swann 10003UP GDC from 2015 States foundation is 3.8x3.8x1m (Pending answer from Swann if 1m was assumed or taken from construction records). Steelwork design & GDC re-run RFQ.  Changed from JG to RVB
16/12/2024 - RVB - Pending Geotech cost approval , once confirmed STATs needs to be ordered and Geotech to proceed
13/12/24-JG-GDC fail on foundation, Geotech WIP 
29/11/24-JG-GDC WIP, electricals WIP","To be instructed","","","","F","30/06/2025","10/10/2025","","Martin McWaters","01/01/1900","01/01/1900",""
"29649","Closed","","","10859143","90670","","","","ICSS","ICSS","F","P2","Greenfield","","","","Blocked","Leanne Mann","Site Removed from Scope","19/12/2024 DM - 20/05/2024 site dropped from list","KTL (Internal)","","","","","F","01/01/2026","01/01/2026","","","","01/01/1900","","F","F","28/06/2024-VG: Site dropped from list","","","","","","F","01/01/2026","","","","","","","","","","","","Raashid Patel","","","","","","","F","01/01/2026","","","","","",""
"29650","In Progress","Acquisition & Design","27/03/2024","10877029","19612","","","","ICSS","ICSS","F","P2","Greenfield","","","","","","","23/08/24 LM: Mitie confirmed as logged W15729623
23/08/24 LM: ticket raised to CS for overgrown track and trees INC000000399223","","","","","","F","08/07/2024","08/07/2024","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","09/07/2024-VG-Comments in Peter Barret's email:<br />FAULT ON PSU - DOUBLE RECTIFIER FAIL<br />TREES COULD DO WITH CUTTING BACK  - OVERHANGING FENCE <br />4 X 4 ADVISED RUTTED TRACK<br /><br />FAULTS NOT REPORTED VIA LOCKEN  - APP  WOULD NOT UPLOAD P","","","Emfyser","GA (Existing + Proposed Pages)","F","13/09/2024","2A","Sikandar Iqbal","Approved for Issue","2A issued to BTEE","25/10/24 LM: GA issued to EE
24/10/24 LM: GA approved CS
09/10/24 SI: GA REV 2A is ready to issue to CS (Uploaded to CS Core)
08/10/24 SI: CS Rejected GA REV 1A, redlines on GA is shared with Emfyser 
12/09/24 SI: GA REV 1A draft 2 is ready to submitted. (DIFF Form on antenna height has been submitted on BT ST)
11/09/24 SI: Redlines on GA REV1A draft 1 is shared with emfyser.
04/09/24 SI: GA instructed without CAD file","12/09/2024","24/10/2024","25/10/2024","05/11/2024","Emfyser","Green","Reece V Belkum","","13/12/2024 - RVB - dep clear
5/12/2024 - RVB - Structural review WIP
18/11/2024 - RVB - Swann GDC WIP, then review
14/11/2024 - RVB - GDC WIP + Electrical review WIP
11/11/2024 - RVB - GDC order form to be completed (Costs approved)
7/11/2024 - RVB - GDC RFQ + Electrical WIP","Approved","","17/01/25 LS: BC Submitted
30/12/24 LS: DD approved by BT
19/12/2024 LM: DD approved by CS, uploaded to BT/EE
13/12/2024 - RVB - dep clear
12/11/24-MM-DD Issued to CS
05/12/24-MM-DD Instructed to Emfyser FC 11/12
Please submit CR to reduce 700/800 to 2x2  leaving 2x low band ports for H3G amending drawing and RRU s to suit. Please remove H3G 1800 this site is H3G U21 only). Correct at DD.","1A","T","20/12/2024","13/12/2024","12/12/2024","Martin McWaters","19/12/2024","19/12/2024","30/12/2024"
"29651","In Progress","Acquisition & Design","27/03/2024","10881839","11406","","","","ICSS","ICSS","F","P2","Greenfield","","","","","","","ICSS Batch 1 - all instructed sites up to 29/04/2024","","","","","","F","24/05/2024","24/05/2024","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","","","","","","F","07/06/2024","2A","Sikandar Iqbal","Approved","2A approved by EE","08/07/24 LM: GDC Completed with Pass
01/07/24 BW: GDC PO sent to Trylon. FC 12/07
26/06/24 LM: GDC quote request to Trylon
14/06/24 BW: 2A approved by EE 
12/06/24 BW: 2A approved by CS and issued to EE
12/06/24 BW: 2A Issued to CS
12/06/24 SI: GA REV 2A is ready to submit. 
10/06/24 SI: CS Redlines on GA 1A shared with Emfyser. 
07/06/24 BW: 1A issued to CS
07/06/24 SI: Redlines on 2nd draft of GA REV 1A is good to issue. 
06/06/24 SI: Redlines on first draft of GA REV 1A shared with Emfyser
04/06/24 SI: GA instructed","07/06/2024","12/06/2024","12/06/2024","14/06/2024","Emfyser","Green","Raashid Patel","","","Approved","","29/10/2024 LM: BC approved
28/10/24 LM: BC submitted to CS McC
22/10/24 LM: DD approved by EE
18/10/24 LM: DD approved by CS
17/10/24-MM-DD REV 3A issued to ST & CS
11/10/24 LM: DD rejected by EE, see email for comments
09/10/24-MM- 2A Approved by CS Uploaded to ST
04/10-MM-DD 2A Issued to CS
03/10/24 LM: DD amends F/C 18/10
29/08/24 LM: DD rejected by CS, see notes in file
26/07-MM-1A uploaded to CS
11/07/24-MM- DD instructed to Emfyser
08/07/24 BWL GDC back DD to be instructed
01/07/24 BW: GDC PO sent to Trylon. FC 12/07","3A","T","19/07/2024","01/01/2020","26/07/2024","Martin McWaters","09/10/2024","09/10/2024","22/10/2024"
"29652","In Progress","Acquisition & Design","13/06/2024","10671536","63013","","","","ICSS","ICSS","F","P2","Greenfield","","","","","","","","","","","","","F","24/07/2024","25/07/2024","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","31/07/2024-VG-Survey + photos received. 
25/07/2024-VG- Survey completed. Waiting for survey + photos. 
17/07/24-VG- Rescheduled for 24/07/2024.","","","","Emfyser","GA (Existing + Proposed Pages)","F","13/09/2024","2A","Sikandar Iqbal","Approved","2A is uploaded to BTEE","12/11/24 LM: GA approved BT/EE
07/10/24 SI: GA REV 2A is uploaded to BT. 
07/10/24 SI: GA REV 2A is approved by CS
04/10/24 SI: GA REV 2A is issued to CS via uploaded CS core. 
01/10/24 LM: GA rejected by CS
03/09/24 LM: GA issued to CS
03/09/24 SI:GA REV 1A draft 2 is ready to issue to CS
02/09/24 SI: Redlines on first draft of GA REV 1A shared with Emfyser.
02/09/24 LM; Reforecast end of September
23/08/24 SI: GA instructed without CAD file","03/09/2024","07/10/2024","07/10/2024","12/11/2024","Emfyser","Green","Joshua Green","","16/01/25-JG-Dependency Clear
19/12/24-JG-Structurals completed
12/12/24-JG-Structural Review WIP, electricals WIP
03/12/24-JG-GDC WIP, Electricals WIP","Approved","","10/03/2025 LS: 2B Approved by EE
06/03/25 LS: 2B Approved by CS
06/03/25-MM-DD 2B issued to CS for upload to EE
04/03/25 LS: With KTL to decide to overturn. DD amend possible to get rejection overturned.
25/02/25 LS: 2A DD Approved by CS
18/02/25-MM-DD 2A Issued to CS for review
11/02/25 LS: MM to email Paul Graham regarding Power Res commercial check
30/01/25-MM-DD Issued to CS fo review
16/01/25-JG-Dependency Clear
19/12/24-JG-comments following structural review ""Dwgs to show the recommendation note from calcs relating to the Ubolt torque. ""
15/12/24-MM-DD Instructed to Emfyser FC 18/12","2B","T","31/01/2025","16/01/2025","30/01/2025","Martin McWaters","25/02/2025","25/02/2025","10/03/2025"
"29653","In Progress","Acquisition & Design","27/03/2024","10673440","90507","","","","ICSS","ICSS","F","P2","Greenfield","","13/11/2024","","Delayed","CS","Awaiting PO","Spectral Analysis
29/1/2025 - RVB - WIG site, pending Patrick if he will submit application for GDC . If then GDC as a dependency not required. Martin to update DD for application .
23/01/25 KTL to raise site to the GDC email
14/1/2025 - RVB - Pending structural survey cost approval for headframe check + Pending DD update (Excluding offset poles & Z brackets as per rejection) + Pending Spectral analysis cost approval
12/12/2024 - RVB - Pendiung CAD then ASC to progress
10/12/2024 - RVB - Asked Craig to approve climb down survey for headframe
23/11/2024 - RVB - Trylon unable to do Headframe check , asked design for assistance, trylon to provide l3 quote
13/11/2024 - RVB - Headframe calcs WIP + Spectral cost approval pending","KTL (Internal)","Leighton Davis","","","REQ000003534522","F","31/05/2024","23/05/2024","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","","","","","","F","14/06/2024","1A","Sikandar Iqbal","Approved","1A approved by EE","10/07/24 LM: GDC Complete, Pass
02/07/24 BW: GDC PO sent to Trylon. F/C 09/06
27/06/24 BW: GDC cost approval requested from CS
25/06/24 BW: GDC quote requested 
21/06/24 BW: 1A approved by EE. GDC to be instructed. 
19/06/24 BW: 1A issued to EE
18/06/24 BW: 1A approved by CS. See email for amends at DD 
14/06/24 BW: 1A issued to CS
14/06/24 SI: GA REV 1A  draft 2 is ready to submit. 
13/06/24 SI: Redlines on first draft of GA REV 1A shared with Emfyser
10/06/24 SI: GA instruction","14/06/2024","19/06/2024","19/06/2024","21/06/2024","Emfyser","Amber","Reece V Belkum","046 Structural review,045 Spectral Analysis,026 Structural Calcs,017 Intrusive / Structural Survey","28/2/2025 - RVB - Pending climb survey cost approval for headframe check
14/2/2025 - RVB - Pending cost approval for survey / Spectral analysis
29/1/2025 - RVB - WIG site, pending Patrick if he will submit application for GDC . If then GDC as a dependency not required. Martin to update DD for application . 
14/1/2025 - RVB - Pending structural survey cost approval for headframe check + Pending DD update (Excluding offset poles & Z brackets as per rejection) + Pending Spectral analysis cost approval  
12/12/2024 - RVB - Pendiung CAD then ASC to progress
10/12/2024 - RVB - Asked Craig to approve climb down survey for headframe 
23/11/2024 - RVB - Trylon unable to do Headframe check , asked design for assistance, trylon to provide l3 quote
13/11/2024 - RVB - Headframe calcs WIP + Spectral cost approval pending 
8/11/2024 - RVB - SA + Headframe calcs RFQ (Excluding offsets & Z brackets). Changed from RP to RVB
30/10/2024 - RP - Pending DD for dependencies re-run as changes are structural affecting , please strip RAG status when dependencies can be re-run or let me know.
28/10/2024 - RVB - Site needs spectral analysis as per GDC. See rejection comments to see what changes are required (Within design correspondence folder)","Amendment","","14/1/2025 - RVB - Pending structural survey cost approval for headframe check + Pending DD update (Excluding offset poles & Z brackets as per rejection) + Pending Spectral analysis cost approval  
8/11/2024 - RVB - Spectral Analaysis + Headframe calcs RFQ (Excluding offset poles & Z brackets as per rejection)
28/10/2024 - RVB - Site needs spectral analysis as per GDC. Is the rejection structural affecting or not?
23/08/24 LM: DD rejected, referred to MM
31/07/24 - MM- 1A issued to CS
18/07/24-MM- DD Instructed to Emfyser
10/07/24 LM: GDC Complete, Pass
02/07/24 BW: GDC PO sent to Trylon. F/C 09/06
18/06/24 BW: 1A approved by CS. See email for amends at DD","1A","F","30/07/2024","11/11/2025","31/07/2024","Martin McWaters","01/01/1900","01/01/1900",""
"29654","In Progress","Acquisition & Design","06/06/2024","10692139","95030","","","","ICSS","ICSS","F","P2","Greenfield","","05/02/2025","","Delayed","","Awaiting PO","","","","","","","F","10/07/2024","12/07/2024","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","12/07/24-VG- Survey & photos received.
12/07/24-VG-Peter Barrett mentioned in his mail dated 11/07/2024 that:
TOWER LEGS RUSTING
ROXTEC PLATE TO BE SECURED 
OLD CABINETS TO BE REMOVED FROM INTERNAL ROOM
POWER UPGRADE DOESN'T LOOK TO HAVE BEEN FINISHED","","","","","","F","26/07/2024","1A","Sikandar Iqbal","Approved","","01/10/24 LM: GDC instructed
26/09/24 LM: GDC cost approved
16/09/24 LM: GDC quote in from Neo, GDC cost approval to CS
12/09/24 LM: GA approved with comments for DD stage. see file
23/08/24 LM: GA Approved by CS. Issued to EE
31/07/2024 LM: GA Issued to CS
24/07/24 SI: GA REV 1A draft 2 is ready to issue to CS. 
23/07/24 SI: Redlines on GA REV 1A draft 1 shared with Emfyser.
18/07/24 SI: GA instructed with CAD file","31/07/2024","23/08/2024","23/08/2024","12/09/2024","Emfyser","Amber","Reece V Belkum","014 Geotech / Bore Hole,013 GDC Re-Run,017 Intrusive / Structural Survey,046 Structural review","4/3/2025 - RVB _ Geotech survey date TBA, STATS WIP + Corrosion pending cost approval
5/2/2025 - RVB - Pending corrosion cost approval, GDC re-run cost approval, Geotech cost approval, GDC shows 5.6x5.6 raft failing in Bearing , no extension possible, depth confirmed at 0.8m, geotech required
13/1/2025 - RVB - BDC received from CS, Geotech cancelled, GDC re-run required + Pending condition survey Cost approval
12/1/2025 - RVB - Pending condition survey Cost approval + Pending Geotech cost approval + Asked FLI if they hold foundation details 
8/1/2025 - RVB - KTL to re-run GDC with FLI based on new information provided 
12/12/2024 - RVB - Pending Geotech cost approval ,& awaiting for PD corrosion assessemnt results
28/10/2024 - RVB - Pending J,K. to approve costs for Geotech. Pending JK to approve costs for Structural condition survey
21/10/2024 - RVB - Minsioils RFQ for Geotech. Pending Geotech CS approval of costs. Corrosion at base of leg stubs noticed likely FLI to do assessment. (SA also might be required)","To be instructed","At Risk - Requires Geotech to get GDC pass","04/03/24 LS: GDC re-run costs approved
10/10/24 - LM: GDC Complete, Fail on Foundation
04/10/24 LM GDC F/C 10/10
12/09/24 LM: GA approved with comments for DD stage. see file","","F","11/04/2025","09/09/2025","","Martin McWaters","01/01/1900","01/01/1900",""
"29655","In Progress","","","10695533","50501","","","","ICSS","ICSS","F","P2","Greenfield","","15/10/2024","05/02/2025","Cleared","CS","Project Clash","05/02/25 LS: PD information received, review to take place
25/11/24 LM: PD still outstanding
15/10/24 LM: PD confirmed on site, we need clarity before we progress. JK at CS to clarify
30/08/24 LM: GA 2A issued to CS
29/08/24 LM: GA rejected by CS, amends to be reviewed","","","","","","F","24/06/2024","28/06/2024","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","","","","","","F","31/07/2024","2A","Sikandar Iqbal","Approved","GA 2A issued to CS","24/09/24 LM: GDC Complete, Fail
16/09/24 LM: GDC costs approved, PO Req raised for Neo
11/09/24 LM: GDC quote received, cost approval sent to CS
09/09/24 LM: GDC quote request sent to Neo
05/09/24 LM: GA approved by EE
02/09/24 LM: GA approved by CS, sent to EE
30/08/24 GA 2A sent to CS
29/08/24 LM: GA rejected by CS, amends to be reviewed
19/07/24 LM: GA submitted to CS
18/07/24 SI: GA REV 1A draft 2 is ready to submit.
17/07/24 SI: Redlines on first draft of GA REV 1A shared with Emfyser.
12/07/24 SI: GA instructed with CAD file","19/07/2024","02/09/2024","02/09/2024","05/09/2024","Emfyser","Red","Reece V Belkum","009 Foundation Calcs,026 Structural Calcs,006 Electrical Calculations / Design,056 Steelwork Design","11/03/25-MM-Review with Lukasz as to if enough information is shown to proceed
17/2/2025 - RVB - Update design to show PD info and new ringframe & FD extensions","Awaiting dependencies","PD Review","17/2/2025 - RVB - Update design to show PD info and new ringframe & FD extensions for dependencies to proceed
24/09/24 LM: GDC Complete, Fail. Needs BDC and Expected Base Extension.","","F","30/06/2025","01/01/2045","","Martin McWaters","01/01/1900","01/01/1900",""
"29656","In Progress","Acquisition & Design","27/03/2024","10705942","94624","","","","ICSS","ICSS","F","P2","Greenfield","","","","","","","","","","","","","F","29/04/2024","29/04/2024","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","2/05/2024 -VG- Chris Padfield mentioned in his mail dated 1/5/2024 that: <br />1 - Replace the 3 No EE 1800 antenna to allow for additional ports<br />2 - Install 70/80 & 18/21 RRH's to the tower headframe with BOB's<br />3 - Install Hybrid cable","","","","","F","10/05/2024","1A","Sikandar Iqbal","Approved","1A approved by CS","14/08/24 SI: CR ***CR-016751*** for reduced MiMo on shared antenna. 
18/06/24 LM: GDC complete, Pass
21/05/24 BW: GA Approved by EE
14/05/24 BW: 1A sent to EE 
10/05/24 BW: Drawings uploaded to CS SP 
10-05-2024 SI: Third draft of GA REV 1A is good to issue. 
09-05-2024 SI: Redlines on second GA Draft shared with Emfyser.
08-05-2024 SI: Redlines on first GA Draft shared with Emfyser
07-05-2024 EMFYSER: Antenna Query about H3G antenna 800
03-05-2024 SI: GA instructed with proposed Techs and MiMo","10/05/2024","14/05/2024","14/05/2024","21/05/2024","Emfyser","Amber","Reece V Belkum","006 Electrical Calculations / Design","28/2/2025 - RVB - Electrical still pending 
5/12/2024 - RVB - Electrical update WIP","Approved","","07/10/24 LM: DD approved by CS
03/10/24 LM: Build Costs approved by CS/MC and sent to CS to issue to EE/MC
30/09/24 LM: DD approved by EE
25/09/24-MM-DD 5A Issued to CS & EE
20/09 LM: DD rejected by CS, with Design
19/09-MM : DD 4A issued to CS
10/09/24 LM: DD rejected by CS, see file for report
06/09/24 SI: DD REV 3A is ready to issue to CS and it has been uploaded to CS core. 
06/09/24 SI: Comments are left on REV 3A and share with cad for rectification. 
03/09/24 LM: DD didn't go out, with emfyser for amends
28/08/24 LM: Natalie at CS updated: CR approved 16/08
DD issued to EE this morning. 
Draft legals issued 27/08/2024 to EE 
Build costs to be provided
This looks likely to fall out of August but one we will secure in September for Access.
07/08/24 LM: 2A rejected by CS
29/07-MM-2A Issued to CS
23/07-MM-Amendments sent to Emfyser for 2A
19/07/24 LM: DD rejected
28/06/24 BW: 1A Issued to CS
25/06/24 BW: 1st draft redlines sent to CAD. Martin to chase electrical 
21/05/24 BW: Check approval email from CS in folder for amends at DD","5A","F","28/06/2024","05/03/2025","28/06/2024","Martin McWaters","07/10/2024","28/08/2024","07/10/2024"
"29657","In Progress","Acquisition & Design","27/03/2024","10707338","97789","","","","ICSS","ICSS","F","P2","Greenfield","","","","Delayed","CS","Awaiting PO","05/02/25 LS: Geotech complete and spectral analysis. Corrossion Assessment still outstanding but we can submit drawings with addendums. 
23/08/24 LM: Geotech investigation CS requested 
09/08/24 LM: escalate to DS
19/07/24 LM: CS informed that base depth checks are at our cost. KTL to internally discuss
11/07/24 LM: Quote received from KS Civils QU0674
10/07/24 LM: Failed GDC sent to CS and Trial Dig quote requested from KS Civils (Scotland)","","","","","","F","24/05/2024","24/06/2024","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","","","","","","F","14/06/2024","2A","Sikandar Iqbal","Approved","2A approved by CS","23/08/24 LM: Geotech investigation CS cost approval requested 
09/08/24 LM: escalate to DS
10/07/24 LM: Failed GDC sent to CS and Trial Dig quote requested from KS Civils (Scotland)
10/07/24 LM: GDC Complete, Fail on Foundation Depth
01/07/24 BW: GDC PO sent to Trylon. FC 12/07
27/06/24 BW: GDC cost approval requested from CS
25/06/24 BW: GDC quote requested
20/06/24 BW: 2A approved by EE with amends at DD stage. see email in folder. GDC to be instructed 
17/06/24 BW: 2A issued to EE
14/06/24 BW: 2A approved by CS. see email in folder for amends at GA 
12/06/24 BW: 1A rejected by CS
10/06/24 BW: 1A issued to CS","10/06/2024","14/06/2024","14/06/2024","20/06/2024","Emfyser","Amber","Reece V Belkum","017 Intrusive / Structural Survey","28/2/2025 - RVB - Pending corrosion assessment cost approval
26/2/2025 - RVB - Pending corrosion resolution
17/2/2025 - RVB - HALO ticket to be created for corrosion + Structural review WIP
14/2/2025 - RVB _ AS per CS : Corrosion no longer required.
5/2/2025 - RVB - Pending corrosion assessment cost approval + Structural review WIP
3/2/2025 - RVB - Structural review WIP + Pending corrosion quote
21/1/2025 - RVB - Spectral WIP & pending corrosion assessment quote from Swann
11/1/2025 -RVB - Spectral provisionally approved pening email approval. Condition survey required from Swann, RFQ
28/11/2024 - RVB - Pending spectral cost approval 
23/11/2024 - RVB - Pending spectral cost approval & quote
22/11/2024 - RVB - Geotech completed, pending report
13/11/2024 - RVB - Geotech WIP (21/11) + STATs on order
28/10/2024 - RVB - Pending JK cost approval for Geotech
24/10/2024 - RVB - Scotland site. GDC fail in OTM & Spectral analysis required.  StraGeo, Obsidian, Minisoils RFQ. K&S civils quote received pending cost approval , but this is only for a base depth check...","Issued Pending Approval","DD to be instructed F/C 21/01","03/03/25 VW - ITR-136708.
27/02/25-MM- DD 1A Issued to CS
26/2/2025 - RVB - Pending corrosion resolution only
22/02/25 VW - DD REV 1A received.
19/02/25-MM-DD Instructed to Emfyser FC 21/02
5/2/2025 - RVB - Pending corrosion assessment cost approval + Structural review WIP. DD can be prepared
11/1/2025 -RVB - Spectral provisionally approved pening email approval. Condition survey required from Swann, RFQ
08/10/24 LM: Chased CS for approval so we can instruct
23/08/24 LM: Geotech investigation CS cost approval requested 
09/08/24 LM: escalate to DS
10/07/24 LM: Failed GDC sent to CS and Trial Dig quote requested from KS Civils (Scotland)
10/07/24 LM: Failed GDC sent to CS and Trial Dig quote requested from KS Civils (Scotland)
10/07/24 LM: GDC Complete, Fail on Foundation Depth
01/07/24 BW: GDC PO sent to Trylon. FC 12/07
25/06/24 BW: EE amend comments incorporated into the GDC DD RL
20/06/24 BW: 2A approved by EE with amends at DD stage. see email in folder
14/06/24 BW: 1A approved by CS. see email in folder for amends at GA","1A","F","28/02/2025","09/09/2025","27/02/2025","Martin McWaters","01/01/1900","01/01/1900",""
"29659","In Progress","Acquisition & Design","06/06/2024","10763143","27520","","","","ICSS","ICSS","F","P2","Greenfield","","12/12/2024","","Delayed","CS","Awaiting PO","Geotech/Bore Hole - GDC Fail Geotech & strengthening required
29/1/2025 - RVB - Pending Geotech cost approval then strengthening assessemnts/feasibilities to follow (can only extend one direction)
12/12/2024 - RVB - Geotech pending cost approval prior to strengthening assessemnts/feasibilities
27/11/2024 - RVB - GDC fail.The structure fails in its legs in panels 6, 5, and 2; and bracings in panels 6, 5, and 4. A strengthening assessment would likely involve panel swaps in panels 6 and 5 with redundant bracings in panel 2. This would require further investigation, otherwise we would recommend a structure swap.The foundation fails in overturning and bearing. Please see note 6. This would require further investigation.
12/09/24 SI: Lukazs replied with solution
02/08/24 SI: Steel work query after the CS rejection on GA REV 2A
30/08/24 LM: Amended and back with CS
30/08/24 LM: GA rejected by CS, Drawings to be review and reissued","KTL (Internal)","Peter Barrett","","","REQ000003641203","F","10/07/2024","10/07/2024","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","010/07/2024 -VG- Peter Barrett mentioned in his mail dated 10/07/2024 that:<br />TOWER LEGS RUSTING AT ENTRY TO BASE <br />OVERGROWN<br />GATES TO COMPOUND MISSING <br /><br />ALL REPORTED VIA LOCKEN - PHOTOS IN LAST PAGE OF AIP","","","Emfyser","GA (Existing + Proposed Pages)","T","17/07/2024","3A","Sikandar Iqbal","Approved","3A approved CS & BTEE","31/10/24 SI: BTEE APPROVED GA. 
14/10/24 SI: GA REV 3A approved with amends by CS. GA uploaded to BT ST.
20/09/24 SI: GA REV to ""3A"" is ready to issue to CS. Issued to CS
13/09/24 SI: Redlines on GA REV 2A sent back to emfyser for correction. 
11/09/24 SI: sent reminder to Lukasz for structure issue. 
02/09/24 SI: Query regarding regarding steelwork sent to Lukasz. 
02/09/24 LM: GA rejected by CS, see email in SP folder
30/08/24 SI: GA REV 2A draft 1 is ready to issue to CS.
30/08/24 LM: GA rejected by CS, Drawings to be review and reissued
17/07/24 LM: GA issued to CS
16/07/24 SI: GA REV 1A draft 2 is good to issue. 
15/07/24 SI: Redlines on first draft of GA REV 1A shared with Emfyser. 
11/07/24 SI: GA instructed with CAD file","17/07/2024","14/10/2024","14/10/2024","31/10/2024","Emfyser","Amber","Reece V Belkum","026 Structural Calcs,017 Intrusive / Structural Survey,014 Geotech / Bore Hole,025 Strengthening Design","9/2/2025 - RVB - Tower & FD strengthneing assessemnt (Geotech on Hold - CS want to extend with assumed 100KPA rather then Geotech)
29/1/2025 - RVB - Pending Geotech cost approval then strengthening assessemnts/feasibilities to follow (can only extend one direction) + Pending quote for corrosion assessment 
12/12/2024 - RVB - Geotech pending cost approval prior to strengthening assessemnts/feasibilities
27/11/2024 - RVB - GDC fail.The structure fails in its legs in panels 6, 5, and 2; and bracings in panels 6, 5, and 4. A strengthening assessment would likely involve panel swaps in panels 6 and 5 with redundant bracings in panel 2. This would require further investigation, otherwise we would recommend a structure swap.The foundation fails in overturning and bearing. Please see note 6. This would require further investigation.

16/11/2024 - RVB - GDC WIP, then yoke calcs needed , then corrosion assessment. Tower will use Ringframe
11/11/2024 - RVB - GDC WIP + Electrical WIP , then corrsion assessment potentially required + FF calcs
9/11/2024 - RVB GDC pending cost approval (Order form completed) + Electrical WIP (Changed from RP to RVB) + Corrosion assessment potentially required + Faceframe calcs required
07/11/24-JG-GDC quote REQ
05/11/24 - RP - Deps identified, tickets created.","Awaiting dependencies","","12/12/2024 - RVB - Geotech pending cost approval prior to strengthening assessemnts/feasibilities
16/11/2024 - RVB - Swann GDC in progress, Swann have advised to use Ringframe which ive agreed to (Swann standard product) , I will get a sketch for the DD and save it in GDC folder.","","F","18/05/2025","09/09/2025","","Martin McWaters","01/01/1900","01/01/1900",""
